"","id","Decimal.Latitude","Decimal.Longitude"
"413",13518,60.108611,-113.6425
"414",4683,55.63472,2.86417
"415",13759,56.159482,-125.441985
"416",14034,55.142948,-114.807219
"417",14749,55.443204,-97.404876
"418",3706,54,-72
"419",14128,51.433288,-87.125633
"420",14396,55.443204,-97.404876
"421",13833,51.433288,-87.125633
"422",14659,45.290147,-62.735984
"423",14727,55.142948,-114.807219
"424",2906,48.99722,-97.22917
"425",3196,48.99722,-97.22917
"426",10875,-29.46667,31
"427",14780,45.290147,-62.735984
"428",8544,34.11667,-118.08333
"429",13838,45.290147,-62.735984
"430",13903,51.433288,-87.125633
"431",4006,46.5,-66.75
"432",14296,55.443204,-97.404876
"433",3900,46.5,-66.75
"434",14622,46.666605,-66.291594
"435",14030,55.443204,-97.404876
"436",4183,50,-86
"437",14204,55.410147,-105.758445
"438",3789,45,-63
"439",18151,46.666605,-66.291594
"440",3857,45,-63
"441",14298,56.159482,-125.441985
"442",3849,50,-86
"443",14513,55.142948,-114.807219
"444",14589,46.666605,-66.291594
"445",13812,52.941847,-73.107078
"446",13907,45.290147,-62.735984
"447",3916,50,-86
"448",14730,46.666605,-66.291594
"449",3727,45,-63
"450",14767,56.159482,-125.441985
"451",14208,52.941847,-73.107078
"452",13788,56.159482,-125.441985
"453",14722,56.159482,-125.441985
"454",14620,55.142948,-114.807219
"455",3793,54,-72
"456",14137,46.666605,-66.291594
"457",14286,55.410147,-105.758445
"458",3373,60,-98
"459",14007,55.443204,-97.404876
"460",3995,55,-115
"461",4243,60,-98
"462",4073,54,-72
"463",10350,-34.33333,17.96667
"464",1376,55.33333,3
"465",9139,-3.63333,-23.51667
"466",3049,48.99722,-97.22917
"467",5894,67.75,29.5
"468",4002,45,-63
"469",4253,46.5,-66.75
"470",14779,46.666605,-66.291594
"471",14590,45.290147,-62.735984
"472",14702,51.433288,-87.125633
"473",14548,60.108611,-113.6425
"474",13793,55.142948,-114.807219
"475",14591,51.433288,-87.125633
"476",14733,52.941847,-73.107078
"477",13533,60.108611,-113.6425
"478",14569,46.666605,-66.291594
"479",14628,55.410147,-105.758445
"480",4070,50,-86
"481",14031,45.290147,-62.735984
"482",5845,67.75,29.5
"483",4163,46.5,-66.75
"484",14197,56.159482,-125.441985
"485",13586,60.108611,-113.6425
"486",13827,55.142948,-114.807219
"487",14732,51.433288,-87.125633
"488",4062,50,-86
"489",14332,55.142948,-114.807219
"490",14136,56.159482,-125.441985
"491",14636,56.159482,-125.441985
"492",13847,55.410147,-105.758445
"493",13542,60.108611,-113.6425
"494",1065,52.13333,-106.66667
"495",14267,51.433288,-87.125633
"496",13802,52.941847,-73.107078
"497",4001,54,-106
"498",13739,55.443204,-97.404876
"499",4223,50,-86
"500",14756,46.666605,-66.291594
"501",2991,48.99722,-97.22917
"502",3194,48.99722,-97.22917
"503",3445,45.5675,-73.19306
"504",5821,45.57,-73.19
"505",4551,58.45,-111.06667
"506",6261,68.03333,24.2
"507",3732,50,-86
"508",13712,55.443204,-97.404876
"509",13597,60.108611,-113.6425
"510",14734,60.108611,-113.6425
"511",13561,60.108611,-113.6425
"512",3358,60,-98
"513",3378,60,-98
"514",14803,56.159482,-125.441985
"515",14079,45.290147,-62.735984
"516",13809,46.666605,-66.291594
"517",14020,55.142948,-114.807219
"518",4252,55,-125
"519",3246,48.99722,-97.22917
"520",13784,45.290147,-62.735984
"521",3939,55,-125
"522",3725,55,-125
"523",14273,55.443204,-97.404876
"524",3268,60,-98
"525",14199,55.142948,-114.807219
"526",2990,48.99722,-97.22917
"527",3723,54,-106
"528",3704,45,-63
"529",14711,56.159482,-125.441985
"530",13589,60.108611,-113.6425
"531",3707,55,-115
"532",3157,48.99722,-97.22917
"533",14563,56.159482,-125.441985
"534",14268,52.941847,-73.107078
"535",14162,56.159482,-125.441985
"536",13671,55.142948,-114.807219
"537",3971,54,-72
"538",14285,52.941847,-73.107078
"539",14035,56.159482,-125.441985
"540",3005,48.99722,-97.22917
"541",2961,48.99722,-97.22917
"542",5896,67.75,29.5
"543",13530,60.108611,-113.6425
"544",2865,45.34,-119.17
"545",14434,56.159482,-125.441985
"546",13902,45.290147,-62.735984
"547",14400,55.443204,-97.404876
"548",14567,56.159482,-125.441985
"549",14764,52.941847,-73.107078
"550",2913,48.99722,-97.22917
"551",2977,48.99722,-97.22917
"552",13845,55.142948,-114.807219
"553",14398,51.433288,-87.125633
"554",3972,60,-98
"555",14161,55.443204,-97.404876
"556",14626,51.433288,-87.125633
"557",14770,56.159482,-125.441985
"558",14633,55.142948,-114.807219
"559",2886,48.99722,-97.22917
"560",2994,48.99722,-97.22917
"561",4004,54,-106
"562",13564,60.108611,-113.6425
"563",14106,56.159482,-125.441985
"564",4254,45,-63
"565",13791,45.290147,-62.735984
"566",14288,55.443204,-97.404876
"567",13622,60.108611,-113.6425
"568",2863,48.99722,-97.22917
"569",14516,46.666605,-66.291594
"570",13554,60.108611,-113.6425
"571",4080,50,-86
"572",18113,64.407745,-120.52011
"573",4063,54,-72
"574",14086,55.142948,-114.807219
"575",3795,50,-86
"576",4236,55,-125
"577",3073,48.99722,-97.22917
"578",3083,48.99722,-97.22917
"579",3011,48.99722,-97.22917
"580",14217,45.290147,-62.735984
"581",4212,55,-125
"582",3902,54,-72
"583",13580,60.108611,-113.6425
"584",14177,55.142948,-114.807219
"585",1451,55.33333,3
"586",3426,45.5675,-73.19306
"587",4275,55.410147,-105.758445
"588",4554,58.45,-111.06667
"589",14619,60.108611,-113.6425
"590",14394,55.443204,-97.404876
"591",14536,45.290147,-62.735984
"592",13897,55.142948,-114.807219
"593",3851,45,-63
"594",14627,52.941847,-73.107078
"595",1032,53.55,-113.5
"596",14634,55.443204,-97.404876
"597",14277,55.142948,-114.807219
"598",3897,55,-125
"599",13952,55.410147,-105.758445
"600",14518,55.410147,-105.758445
"601",14850,47.394909,-62.650653
"602",2878,48.99722,-97.22917
"603",13829,55.443204,-97.404876
"604",14009,45.290147,-62.735984
"605",4058,45,-63
"606",14403,45.290147,-62.735984
"607",1064,52.2,-105.75
"608",4259,55,-115
"609",4268,55,-125
"610",4549,58.45,-111.06667
"611",4000,54,-72
"612",14094,55.410147,-105.758445
"613",4153,45,-63
"614",14763,45.290147,-62.735984
"615",13814,56.159482,-125.441985
"616",4165,54,-72
"617",13745,55.410147,-105.758445
"618",14618,56.159482,-125.441985
"619",13604,60.108611,-113.6425
"620",3167,48.99722,-97.22917
"621",14477,55.142948,-114.807219
"622",14068,51.433288,-87.125633
"623",13654,60.108611,-113.6425
"624",14587,56.159482,-125.441985
"625",14760,56.159482,-125.441985
"626",2901,48.99722,-97.22917
"627",14349,46.666605,-66.291594
"628",18136,53.003392,-60.79843
"629",14155,55.443204,-97.404876
"630",3234,48.99722,-97.22917
"631",8147,66.66667,31
"632",14242,55.142948,-114.807219
"633",14455,55.142948,-114.807219
"634",14653,52.941847,-73.107078
"635",4104,54,-72
"636",14740,60.108611,-113.6425
"637",14151,45.290147,-62.735984
"638",2999,48.99722,-97.22917
"639",14291,55.142948,-114.807219
"640",14195,55.410147,-105.758445
"641",5860,67.75,29.5
"642",14353,52.941847,-73.107078
"643",13621,60.108611,-113.6425
"644",14250,55.410147,-105.758445
"645",13799,52.941847,-73.107078
"646",14077,46.666605,-66.291594
"647",2873,48.99722,-97.22917
"648",13919,52.941847,-73.107078
"649",3351,60,-98
